1993,scans,0,DataLength,,,,,,,
header,20,lines,,,,,,,,
Date,23/07/2018,Time,13:47:01,,,,,,,
ID,HAL RC RGA 101 #15508,Version,3,,,,,,,
Scans,1,,,,,,,,,
Scan ID,Mode,Input,Scanned,Start,Stop,Increment,Dwell,Settle,RS,RelSEM
Scan 1,RGA,SEM,mass,0.4,100,0.05,100.00%,100.00%,1,1
Environment,,,,,,,,,,
Global,RGA,,,,,,,,,
F1,1,"( 1 = on, 0 = off )",,,,,,,,
F2,0,"( 1 = on, 0 = off )",,,,,,,,
cage,3,V,,,,,,,,
delta-m,0,%,,,,,,,,
electron-energy,70,V,,,,,,,,
emission,1000,uA,,,,,,,,
focus,-90,V,,,,,,,,
mass,5.5,amu,,,,,,,,
mode-change-delay,1000,ms,,,,,,,,
multiplier,800,V,,,,,,,,
resolution,0,%,,,,,,,,
Data,1,,,,,,,,,
Cycle,Time,ms,mass amu,SEM Ie(Amps),,,,,,
1,00:00:28,28242,0.4,5.38E-13,,,,,,
1,00:00:28,28242,0.45,0.00E+00,,,,,,
1,00:00:28,28242,0.5,3.23E-13,,,,,,
1,00:00:28,28242,0.55,1.08E-13,,,,,,
1,00:00:28,28242,0.6,3.23E-13,,,,,,
1,00:00:28,28242,0.65,3.76E-13,,,,,,
1,00:00:28,28242,0.7,3.76E-13,,,,,,
1,00:00:28,28242,0.75,2.86E-11,,,,,,
1,00:00:28,28242,0.8,9.13E-11,,,,,,
1,00:00:28,28242,0.85,1.10E-10,,,,,,
1,00:00:28,28242,0.9,1.23E-10,,,,,,
1,00:00:28,28242,0.95,1.22E-10,,,,,,
1,00:00:28,28242,1,7.67E-11,,,,,,
1,00:00:28,28242,1.05,3.49E-11,,,,,,
1,00:00:28,28242,1.1,2.44E-11,,,,,,
1,00:00:28,28242,1.15,2.16E-11,,,,,,
1,00:00:28,28242,1.2,2.07E-11,,,,,,
1,00:00:28,28242,1.25,1.99E-11,,,,,,
1,00:00:28,28242,1.3,2.02E-11,,,,,,
1,00:00:28,28242,1.35,1.70E-11,,,,,,
1,00:00:28,28242,1.4,1.37E-11,,,,,,
1,00:00:28,28242,1.45,7.87E-12,,,,,,
1,00:00:28,28242,1.5,2.18E-12,,,,,,
1,00:00:28,28242,1.55,7.87E-12,,,,,,
1,00:00:28,28242,1.6,1.42E-11,,,,,,
1,00:00:28,28242,1.65,6.40E-11,,,,,,
1,00:00:28,28242,1.7,1.25E-10,,,,,,
1,00:00:28,28242,1.75,1.28E-10,,,,,,
1,00:00:28,28242,1.8,1.54E-10,,,,,,
1,00:00:28,28242,1.85,1.82E-10,,,,,,
1,00:00:28,28242,1.9,1.99E-10,,,,,,
1,00:00:28,28242,1.95,2.08E-10,,,,,,
1,00:00:28,28242,2,2.15E-10,,,,,,
1,00:00:28,28242,2.05,2.15E-10,,,,,,
1,00:00:28,28242,2.1,2.21E-10,,,,,,
1,00:00:28,28242,2.15,2.18E-10,,,,,,
1,00:00:28,28242,2.2,2.13E-10,,,,,,
1,00:00:28,28242,2.25,2.08E-10,,,,,,
1,00:00:28,28242,2.3,2.01E-10,,,,,,
1,00:00:28,28242,2.35,1.82E-10,,,,,,
1,00:00:28,28242,2.4,1.52E-10,,,,,,
1,00:00:28,28242,2.45,7.78E-11,,,,,,
1,00:00:28,28242,2.5,2.42E-13,,,,,,
1,00:00:28,28242,2.55,5.38E-14,,,,,,
1,00:00:28,28242,2.6,2.42E-13,,,,,,
1,00:00:28,28242,2.65,5.11E-13,,,,,,
1,00:00:28,28242,2.7,4.57E-13,,,,,,
1,00:00:28,28242,2.75,4.57E-13,,,,,,
1,00:00:28,28242,2.8,9.68E-13,,,,,,
1,00:00:28,28242,2.85,9.68E-13,,,,,,
1,00:00:28,28242,2.9,1.34E-12,,,,,,
1,00:00:28,28242,2.95,1.29E-12,,,,,,
1,00:00:28,28242,3,1.88E-12,,,,,,
1,00:00:28,28242,3.05,1.94E-12,,,,,,
1,00:00:28,28242,3.1,2.15E-12,,,,,,
1,00:00:28,28242,3.15,1.69E-12,,,,,,
1,00:00:28,28242,3.2,1.72E-12,,,,,,
1,00:00:28,28242,3.25,1.91E-12,,,,,,
1,00:00:28,28242,3.3,1.72E-12,,,,,,
1,00:00:28,28242,3.35,1.59E-12,,,,,,
1,00:00:28,28242,3.4,1.56E-12,,,,,,
1,00:00:28,28242,3.45,1.24E-12,,,,,,
1,00:00:28,28242,3.5,7.79E-13,,,,,,
1,00:00:28,28242,3.55,8.06E-13,,,,,,
1,00:00:28,28242,3.6,4.03E-13,,,,,,
1,00:00:28,28242,3.65,4.03E-13,,,,,,
1,00:00:28,28242,3.7,7.53E-13,,,,,,
1,00:00:28,28242,3.75,1.05E-12,,,,,,
1,00:00:28,28242,3.8,6.99E-13,,,,,,
1,00:00:28,28242,3.85,7.26E-13,,,,,,
1,00:00:28,28242,3.9,7.26E-13,,,,,,
1,00:00:28,28242,3.95,5.64E-13,,,,,,
1,00:00:28,28242,4,5.64E-13,,,,,,
