,scans,0,DataLength,,,,,,,
header,20,lines,,,,,,,,
Date,15/05/2018,Time,10:54:05,,,,,,,
ID,HAL RC RGA 101 #15508,Version,3,,,,,,,
Scans,1,,,,,,,,,
Scan ID,Mode,Input,Scanned,Start,Stop,Increment,Dwell,Settle,RS,RelSEM
Scan 1,RGA,SEM,mass,0.4,100,0.05,100.00%,100.00%,1,1
Environment,,,,,,,,,,
Global,RGA,,,,,,,,,
F1,1,"( 1 = on, 0 = off )",,,,,,,,
F2,0,"( 1 = on, 0 = off )",,,,,,,,
cage,3,V,,,,,,,,
delta-m,0,%,,,,,,,,
electron-energy,70,V,,,,,,,,
emission,1000,uA,,,,,,,,
focus,-90,V,,,,,,,,
mass,5.5,amu,,,,,,,,
mode-change-delay,1000,ms,,,,,,,,
multiplier,800,V,,,,,,,,
resolution,0,%,,,,,,,,
Data,1,,,,,,,,,
Cycle,Time,ms,mass amu,SEM Ie(Amps),,,,,,
1,00:00:28,28602,0.4,8.87E-13,,,,,,
1,00:00:28,28602,0.45,6.99E-13,,,,,,
1,00:00:28,28602,0.5,1.37E-12,,,,,,
1,00:00:28,28602,0.55,2.31E-12,,,,,,
1,00:00:28,28602,0.6,4.89E-12,,,,,,
1,00:00:28,28602,0.65,1.46E-11,,,,,,
1,00:00:28,28602,0.7,7.03E-11,,,,,,
1,00:00:28,28602,0.75,9.66E-10,,,,,,
1,00:00:28,28602,0.8,2.07E-09,,,,,,
1,00:00:28,28602,0.85,3.01E-10,,,,,,
1,00:00:28,28602,0.9,6.82E-09,,,,,,
1,00:00:28,28602,0.95,6.91E-09,,,,,,
1,00:00:28,28602,1,6.71E-09,,,,,,
1,00:00:28,28602,1.05,6.57E-09,,,,,,
1,00:00:28,28602,1.1,6.74E-09,,,,,,
1,00:00:28,28602,1.15,6.57E-09,,,,,,
1,00:00:28,28602,1.2,6.33E-09,,,,,,
1,00:00:28,28602,1.25,5.98E-09,,,,,,
1,00:00:28,28602,1.3,5.36E-09,,,,,,
1,00:00:28,28602,1.35,4.59E-09,,,,,,
1,00:00:28,28602,1.4,3.33E-09,,,,,,
1,00:00:28,28602,1.45,3.95E-10,,,,,,
1,00:00:28,28602,1.5,1.38E-10,,,,,,
1,00:00:28,28602,1.55,2.08E-10,,,,,,
1,00:00:28,28602,1.6,6.29E-10,,,,,,
1,00:00:28,28602,1.65,1.29E-09,,,,,,
1,00:00:28,28602,1.7,1.76E-09,,,,,,
1,00:00:28,28602,1.75,2.05E-09,,,,,,
1,00:00:28,28602,1.8,2.38E-09,,,,,,
1,00:00:28,28602,1.85,2.45E-09,,,,,,
1,00:00:28,28602,1.9,2.58E-09,,,,,,
1,00:00:28,28602,1.95,2.70E-09,,,,,,
1,00:00:28,28602,2,2.80E-09,,,,,,
1,00:00:28,28602,2.05,2.89E-09,,,,,,
1,00:00:28,28602,2.1,2.87E-09,,,,,,
1,00:00:28,28602,2.15,2.84E-09,,,,,,
1,00:00:28,28602,2.2,2.78E-09,,,,,,
1,00:00:28,28602,2.25,2.68E-09,,,,,,
