user name	jhellstr																										
information																											
RGA info	QMG220 - 64-D2-41-02-38-BD																										
Active Filament	Filament 1 active																										
Ion Source Type	HIGH SENSITIVITY																										
Emission Current ( IS220-1)	2.000000																										
Protection current (IS220-1)	3.500000																										
RF Polarity	NEGATIVE																										
Ion reference (IS220-1.V01)	150.000000																										
Cathode ( IS220-1.V02)	-65.000000																										
Focus (IS220-1)	-11.000000																										
Field axis (IS220-1.V04)	-7.000000																										
Extraction (IS220-1.V05)	-35.000000																										
SEM STATE	SEM VOLTAGE																										
ON	1000.000000																										
EP1 OFFSET E-05	-0.00000000030521302152																										
EP1 OFFSET E-06	-0.00000000088511781238																										
EP1 OFFSET E-07	-0.00000000000305213038																										
EP1 OFFSET E-08	-0.00000000000885117847																										
EP1 OFFSET E-09	0.00000000000009156391																										
EP1 OFFSET E-10	-0.00000000000003967769																										
EP1 OFFSET E-11	0.00000000000004272983																										
EP1 OFFSET E-12	0.00000000000003616774																										
mass 2_time	mass 2_value	mass 4_time	mass 4_value	mass 14_time	mass 14_value	mass 15_time	mass 15_value	mass 16_time	mass 16_value	mass 18_time	mass 18_value	mass 26_time	mass 26_value	mass 28_time	mass 28_value	mass 39_time	mass 39_value	mass 40_time	mass 40_value	mass 41_time	mass 41_value	mass 44_time	mass 44_value	mass 83_time	mass 83_value	mass 84_time	mass 84_value
2018/08/21 13:43:30	0.00000000150797352383	2018/08/21 13:43:31	0.00000000004278336713	2018/08/21 13:43:32	0.00000000001374712583	2018/08/21 13:43:33	0.00000000001557650016	2018/08/21 13:43:34	0.00000000024088528394	2018/08/21 13:43:36	0.00000000017921249207	2018/08/21 13:43:37	0.00000000000279325044	2018/08/21 13:43:38	0.00000000022190828342	2018/08/21 13:43:39	0.00000000000056776215	2018/08/21 13:43:40	0.00000000000028819465	2018/08/21 13:43:41	0.00000000000038100949	2018/08/21 13:43:42	0.00000000004750870530	2018/08/21 13:43:43	0.00000000000006630472	2018/08/21 13:43:29	0.00000000000023610592
2018/08/21 13:43:45	0.00000000146322776118	2018/08/21 13:43:46	0.00000000004145934984	2018/08/21 13:43:47	0.00000000001344309993	2018/08/21 13:43:48	0.00000000001501782206	2018/08/21 13:43:49	0.00000000023343871280	2018/08/21 13:43:50	0.00000000017269990993	2018/08/21 13:43:52	0.00000000000256290909	2018/08/21 13:43:52	0.00000000021353240010	2018/08/21 13:43:54	0.00000000000052763767	2018/08/21 13:43:55	0.00000000000033460124	2018/08/21 13:43:56	0.00000000000036394948	2018/08/21 13:43:57	0.00000000004618499333	2018/08/21 13:43:58	0.00000000000004940343	2018/08/21 13:43:44	0.00000000000006816309
